order,rb,method,cr
1,1,ConfGenX,99.4047619047619
1,2,ConfGenX,94.15730337078652
1,3,ConfGenX,89.24205378973105
1,4,ConfGenX,82.09606986899563
1,5,ConfGenX,76.16033755274262
1,6,ConfGenX,65.50868486352357
1,7,ConfGenX,51.383399209486164
1,8,ConfGenX,49.41860465116279
1,9,ConfGenX,43.97163120567376
1,10,ConfGenX,31.914893617021278
1,11,ConfGenX,16.923076923076923
1,12,ConfGenX,23.80952380952381
1,13,ConfGenX,28.571428571428573
1,14,ConfGenX,44.44444444444444
1,15,ConfGenX,0.0
1,16,ConfGenX,0.0
2,1,Conformator,98.50299401197604
2,2,Conformator,94.15730337078652
2,3,Conformator,86.27450980392157
2,4,Conformator,79.91266375545851
2,5,Conformator,65.96194503171247
2,6,Conformator,57.07196029776675
2,7,Conformator,51.98412698412698
2,8,Conformator,44.76744186046512
2,9,Conformator,42.5531914893617
2,10,Conformator,27.659574468085108
2,11,Conformator,24.615384615384617
2,12,Conformator,21.951219512195124
2,13,Conformator,21.428571428571427
2,14,Conformator,11.11111111111111
2,15,Conformator,10.0
2,16,Conformator,0.0
3,1,OMEGA,99.70238095238095
3,2,OMEGA,93.48314606741573
3,3,OMEGA,90.46454767726162
3,4,OMEGA,82.96943231441048
3,5,OMEGA,73.83966244725738
3,6,OMEGA,65.26054590570719
3,7,OMEGA,53.75494071146245
3,8,OMEGA,53.21637426900585
3,9,OMEGA,39.716312056737586
3,10,OMEGA,32.97872340425532
3,11,OMEGA,23.076923076923077
3,12,OMEGA,23.80952380952381
3,13,OMEGA,17.857142857142858
3,14,OMEGA,16.666666666666668
3,15,OMEGA,10.0
3,16,OMEGA,33.333333333333336
4,1,RDKit ETKDG,99.70149253731343
4,2,RDKit ETKDG,93.48314606741573
4,3,RDKit ETKDG,87.53056234718827
4,4,RDKit ETKDG,80.13100436681222
4,5,RDKit ETKDG,68.49894291754757
4,6,RDKit ETKDG,59.05707196029777
4,7,RDKit ETKDG,51.58730158730159
4,8,RDKit ETKDG,50.58139534883721
4,9,RDKit ETKDG,41.13475177304964
4,10,RDKit ETKDG,27.956989247311828
4,11,RDKit ETKDG,15.625
4,12,RDKit ETKDG,19.047619047619047
4,13,RDKit ETKDG,10.714285714285714
4,14,RDKit ETKDG,16.666666666666668
4,15,RDKit ETKDG,0.0
4,16,RDKit ETKDG,16.666666666666668
5,1,ConfGF,87.20238095238095
5,2,ConfGF,72.13483146067416
5,3,ConfGF,57.946210268948654
5,4,ConfGF,42.35807860262009
5,5,ConfGF,29.535864978902953
5,6,ConfGF,18.114143920595534
5,7,ConfGF,11.462450592885375
5,8,ConfGF,12.790697674418604
5,9,ConfGF,5.673758865248227
5,10,ConfGF,3.1914893617021276
5,11,ConfGF,1.5384615384615385
5,12,ConfGF,0.0
5,13,ConfGF,0.0
5,14,ConfGF,5.555555555555555
5,15,ConfGF,0.0
5,16,ConfGF,0.0
6,1,DMCG,94.64285714285714
6,2,DMCG,84.26966292134831
6,3,DMCG,64.30317848410758
6,4,DMCG,48.47161572052402
6,5,DMCG,37.9746835443038
6,6,DMCG,26.30272952853598
6,7,DMCG,15.019762845849803
6,8,DMCG,15.69767441860465
6,9,DMCG,4.964539007092198
6,10,DMCG,4.25531914893617
6,11,DMCG,1.5384615384615385
6,12,DMCG,0.0
6,13,DMCG,3.5714285714285716
6,14,DMCG,11.11111111111111
6,15,DMCG,0.0
6,16,DMCG,16.666666666666668
7,1,GeoDiff,96.72619047619048
7,2,GeoDiff,89.43820224719101
7,3,GeoDiff,80.92909535452323
7,4,GeoDiff,63.10043668122271
7,5,GeoDiff,54.43037974683544
7,6,GeoDiff,39.45409429280397
7,7,GeoDiff,26.48221343873518
7,8,GeoDiff,30.232558139534884
7,9,GeoDiff,12.056737588652481
7,10,GeoDiff,10.638297872340425
7,11,GeoDiff,10.76923076923077
7,12,GeoDiff,2.380952380952381
7,13,GeoDiff,3.5714285714285716
7,14,GeoDiff,5.555555555555555
7,15,GeoDiff,0.0
7,16,GeoDiff,0.0
8,1,GeoMol,97.32142857142857
8,2,GeoMol,92.35955056179775
8,3,GeoMol,84.84107579462103
8,4,GeoMol,74.45414847161572
8,5,GeoMol,66.66666666666667
8,6,GeoMol,51.86104218362283
8,7,GeoMol,41.10671936758893
8,8,GeoMol,40.69767441860465
8,9,GeoMol,31.20567375886525
8,10,GeoMol,18.085106382978722
8,11,GeoMol,21.53846153846154
8,12,GeoMol,19.047619047619047
8,13,GeoMol,7.142857142857143
8,14,GeoMol,16.666666666666668
8,15,GeoMol,0.0
8,16,GeoMol,0.0
9,1,Torsional Diffusion,98.80952380952381
9,2,Torsional Diffusion,93.22799097065463
9,3,Torsional Diffusion,83.37408312958435
9,4,Torsional Diffusion,74.45414847161572
9,5,Torsional Diffusion,64.04255319148936
9,6,Torsional Diffusion,50.12468827930174
9,7,Torsional Diffusion,39.52569169960474
9,8,Torsional Diffusion,29.069767441860463
9,9,Torsional Diffusion,24.822695035460992
9,10,Torsional Diffusion,12.76595744680851
9,11,Torsional Diffusion,14.0625
9,12,Torsional Diffusion,11.904761904761905
9,13,Torsional Diffusion,10.714285714285714
9,14,Torsional Diffusion,11.11111111111111
9,15,Torsional Diffusion,0.0
9,16,Torsional Diffusion,0.0
