Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 2.39, Median = 0.00
Precision Coverage: Mean = 5.78, Median = 0.00
Precision Coverage: Mean = 8.38, Median = 0.00
Precision Coverage: Mean = 11.66, Median = 0.00
Precision Coverage: Mean = 15.71, Median = 0.00
Precision Coverage: Mean = 19.92, Median = 0.00
Precision Coverage: Mean = 24.42, Median = 0.00
Precision Coverage: Mean = 29.84, Median = 0.00
Precision Coverage: Mean = 35.00, Median = 0.00
Precision Coverage: Mean = 40.79, Median = 0.00
Precision Coverage: Mean = 46.36, Median = 0.00
Precision Coverage: Mean = 53.25, Median = 100.00
Precision Coverage: Mean = 58.38, Median = 100.00
Precision Coverage: Mean = 63.63, Median = 100.00
Precision Coverage: Mean = 68.66, Median = 100.00
Precision Coverage: Mean = 73.43, Median = 100.00
Precision Coverage: Mean = 77.28, Median = 100.00
Precision Coverage: Mean = 81.07, Median = 100.00
Precision Coverage: Mean = 84.56, Median = 100.00
