Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 1.94, Median = 0.00
Precision Coverage: Mean = 5.37, Median = 0.00
Precision Coverage: Mean = 7.69, Median = 0.00
Precision Coverage: Mean = 10.73, Median = 0.00
Precision Coverage: Mean = 14.73, Median = 0.00
Precision Coverage: Mean = 19.56, Median = 0.00
Precision Coverage: Mean = 24.72, Median = 0.00
Precision Coverage: Mean = 29.99, Median = 0.00
Precision Coverage: Mean = 34.94, Median = 0.00
Precision Coverage: Mean = 40.31, Median = 0.00
Precision Coverage: Mean = 45.89, Median = 0.00
Precision Coverage: Mean = 51.79, Median = 100.00
Precision Coverage: Mean = 56.56, Median = 100.00
Precision Coverage: Mean = 61.12, Median = 100.00
Precision Coverage: Mean = 65.53, Median = 100.00
Precision Coverage: Mean = 69.65, Median = 100.00
Precision Coverage: Mean = 74.36, Median = 100.00
Precision Coverage: Mean = 78.71, Median = 100.00
Precision Coverage: Mean = 82.56, Median = 100.00
