Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 2.12, Median = 0.00
Precision Coverage: Mean = 5.52, Median = 0.00
Precision Coverage: Mean = 8.65, Median = 0.00
Precision Coverage: Mean = 12.52, Median = 0.00
Precision Coverage: Mean = 17.17, Median = 0.00
Precision Coverage: Mean = 22.12, Median = 0.00
Precision Coverage: Mean = 27.73, Median = 0.00
Precision Coverage: Mean = 33.81, Median = 0.00
Precision Coverage: Mean = 39.92, Median = 0.00
Precision Coverage: Mean = 45.80, Median = 0.00
Precision Coverage: Mean = 50.51, Median = 100.00
Precision Coverage: Mean = 55.28, Median = 100.00
Precision Coverage: Mean = 60.55, Median = 100.00
Precision Coverage: Mean = 64.85, Median = 100.00
Precision Coverage: Mean = 69.44, Median = 100.00
Precision Coverage: Mean = 73.46, Median = 100.00
Precision Coverage: Mean = 77.28, Median = 100.00
Precision Coverage: Mean = 81.04, Median = 100.00
Precision Coverage: Mean = 84.62, Median = 100.00
