Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 1.10, Median = 0.00
Precision Coverage: Mean = 3.43, Median = 0.00
Precision Coverage: Mean = 5.40, Median = 0.00
Precision Coverage: Mean = 8.02, Median = 0.00
Precision Coverage: Mean = 11.78, Median = 0.00
Precision Coverage: Mean = 15.74, Median = 0.00
Precision Coverage: Mean = 20.18, Median = 0.00
Precision Coverage: Mean = 25.10, Median = 0.00
Precision Coverage: Mean = 29.93, Median = 0.00
Precision Coverage: Mean = 34.26, Median = 0.00
Precision Coverage: Mean = 38.49, Median = 0.00
Precision Coverage: Mean = 43.98, Median = 0.00
Precision Coverage: Mean = 50.00, Median = 50.00
Precision Coverage: Mean = 54.29, Median = 100.00
Precision Coverage: Mean = 59.63, Median = 100.00
Precision Coverage: Mean = 63.95, Median = 100.00
Precision Coverage: Mean = 68.16, Median = 100.00
Precision Coverage: Mean = 72.30, Median = 100.00
Precision Coverage: Mean = 75.82, Median = 100.00
