Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 0.08, Median = 0.00
Precision Coverage: Mean = 0.63, Median = 0.00
Precision Coverage: Mean = 1.45, Median = 0.00
Precision Coverage: Mean = 2.47, Median = 0.00
Precision Coverage: Mean = 3.97, Median = 0.00
Precision Coverage: Mean = 5.81, Median = 0.00
Precision Coverage: Mean = 8.00, Median = 0.00
Precision Coverage: Mean = 10.91, Median = 0.00
Precision Coverage: Mean = 13.64, Median = 0.00
Precision Coverage: Mean = 16.73, Median = 0.00
Precision Coverage: Mean = 19.96, Median = 0.00
Precision Coverage: Mean = 23.38, Median = 10.00
Precision Coverage: Mean = 27.06, Median = 10.00
Precision Coverage: Mean = 30.66, Median = 10.00
Precision Coverage: Mean = 34.81, Median = 20.00
Precision Coverage: Mean = 38.69, Median = 30.00
Precision Coverage: Mean = 42.80, Median = 30.00
Precision Coverage: Mean = 46.93, Median = 40.00
Precision Coverage: Mean = 51.00, Median = 50.00
