Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 0.55, Median = 0.00
Precision Coverage: Mean = 2.13, Median = 0.00
Precision Coverage: Mean = 3.51, Median = 0.00
Precision Coverage: Mean = 5.46, Median = 0.00
Precision Coverage: Mean = 7.62, Median = 0.00
Precision Coverage: Mean = 10.17, Median = 0.00
Precision Coverage: Mean = 13.26, Median = 0.00
Precision Coverage: Mean = 16.23, Median = 0.00
Precision Coverage: Mean = 19.52, Median = 0.00
Precision Coverage: Mean = 22.82, Median = 0.00
Precision Coverage: Mean = 26.23, Median = 0.00
Precision Coverage: Mean = 29.95, Median = 0.00
Precision Coverage: Mean = 33.98, Median = 10.00
Precision Coverage: Mean = 37.92, Median = 10.00
Precision Coverage: Mean = 41.78, Median = 20.00
Precision Coverage: Mean = 45.79, Median = 40.00
Precision Coverage: Mean = 49.55, Median = 50.00
Precision Coverage: Mean = 53.48, Median = 60.00
Precision Coverage: Mean = 57.26, Median = 80.00
