Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 1.67, Median = 0.00
Recall Coverage: Mean = 5.81, Median = 0.00
Recall Coverage: Mean = 8.86, Median = 0.00
Recall Coverage: Mean = 12.64, Median = 0.00
Recall Coverage: Mean = 16.55, Median = 0.00
Recall Coverage: Mean = 21.32, Median = 0.00
Recall Coverage: Mean = 25.70, Median = 0.00
Recall Coverage: Mean = 30.35, Median = 0.00
Recall Coverage: Mean = 35.33, Median = 0.00
Recall Coverage: Mean = 39.98, Median = 0.00
Recall Coverage: Mean = 44.22, Median = 0.00
Recall Coverage: Mean = 48.51, Median = 0.00
Recall Coverage: Mean = 52.74, Median = 100.00
Recall Coverage: Mean = 56.80, Median = 100.00
Recall Coverage: Mean = 60.47, Median = 100.00
Recall Coverage: Mean = 63.30, Median = 100.00
Recall Coverage: Mean = 66.79, Median = 100.00
Recall Coverage: Mean = 70.10, Median = 100.00
Recall Coverage: Mean = 73.26, Median = 100.00
