Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 0.36, Median = 0.00
Recall Coverage: Mean = 3.22, Median = 0.00
Recall Coverage: Mean = 7.72, Median = 0.00
Recall Coverage: Mean = 13.89, Median = 0.00
Recall Coverage: Mean = 20.69, Median = 0.00
Recall Coverage: Mean = 27.16, Median = 0.00
Recall Coverage: Mean = 34.82, Median = 0.00
Recall Coverage: Mean = 41.98, Median = 0.00
Recall Coverage: Mean = 49.05, Median = 0.00
Recall Coverage: Mean = 55.46, Median = 100.00
Recall Coverage: Mean = 62.08, Median = 100.00
Recall Coverage: Mean = 68.34, Median = 100.00
Recall Coverage: Mean = 74.12, Median = 100.00
Recall Coverage: Mean = 79.34, Median = 100.00
Recall Coverage: Mean = 83.78, Median = 100.00
Recall Coverage: Mean = 87.92, Median = 100.00
Recall Coverage: Mean = 90.97, Median = 100.00
Recall Coverage: Mean = 93.83, Median = 100.00
Recall Coverage: Mean = 95.68, Median = 100.00
