Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 4.77, Median = 0.00
Recall Coverage: Mean = 16.04, Median = 0.00
Recall Coverage: Mean = 27.49, Median = 0.00
Recall Coverage: Mean = 37.66, Median = 0.00
Recall Coverage: Mean = 47.73, Median = 0.00
Recall Coverage: Mean = 58.41, Median = 100.00
Recall Coverage: Mean = 68.90, Median = 100.00
Recall Coverage: Mean = 76.39, Median = 100.00
Recall Coverage: Mean = 82.44, Median = 100.00
Recall Coverage: Mean = 87.18, Median = 100.00
Recall Coverage: Mean = 91.03, Median = 100.00
Recall Coverage: Mean = 93.65, Median = 100.00
Recall Coverage: Mean = 95.26, Median = 100.00
Recall Coverage: Mean = 96.96, Median = 100.00
Recall Coverage: Mean = 98.21, Median = 100.00
Recall Coverage: Mean = 99.05, Median = 100.00
Recall Coverage: Mean = 99.46, Median = 100.00
Recall Coverage: Mean = 99.52, Median = 100.00
Recall Coverage: Mean = 99.79, Median = 100.00
