Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 2.62, Median = 0.00
Recall Coverage: Mean = 10.70, Median = 0.00
Recall Coverage: Mean = 20.42, Median = 0.00
Recall Coverage: Mean = 31.43, Median = 0.00
Recall Coverage: Mean = 42.22, Median = 0.00
Recall Coverage: Mean = 53.07, Median = 100.00
Recall Coverage: Mean = 64.25, Median = 100.00
Recall Coverage: Mean = 72.45, Median = 100.00
Recall Coverage: Mean = 79.04, Median = 100.00
Recall Coverage: Mean = 84.44, Median = 100.00
Recall Coverage: Mean = 88.31, Median = 100.00
Recall Coverage: Mean = 91.47, Median = 100.00
Recall Coverage: Mean = 94.04, Median = 100.00
Recall Coverage: Mean = 95.92, Median = 100.00
Recall Coverage: Mean = 96.87, Median = 100.00
Recall Coverage: Mean = 97.85, Median = 100.00
Recall Coverage: Mean = 98.60, Median = 100.00
Recall Coverage: Mean = 99.08, Median = 100.00
Recall Coverage: Mean = 99.34, Median = 100.00
