Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 5.90, Median = 0.00
Recall Coverage: Mean = 13.77, Median = 0.00
Recall Coverage: Mean = 20.27, Median = 0.00
Recall Coverage: Mean = 28.86, Median = 0.00
Recall Coverage: Mean = 37.95, Median = 0.00
Recall Coverage: Mean = 45.89, Median = 0.00
Recall Coverage: Mean = 54.59, Median = 100.00
Recall Coverage: Mean = 63.80, Median = 100.00
Recall Coverage: Mean = 71.17, Median = 100.00
Recall Coverage: Mean = 76.42, Median = 100.00
Recall Coverage: Mean = 81.25, Median = 100.00
Recall Coverage: Mean = 86.26, Median = 100.00
Recall Coverage: Mean = 89.71, Median = 100.00
Recall Coverage: Mean = 92.37, Median = 100.00
Recall Coverage: Mean = 94.19, Median = 100.00
Recall Coverage: Mean = 96.24, Median = 100.00
Recall Coverage: Mean = 97.61, Median = 100.00
Recall Coverage: Mean = 98.42, Median = 100.00
Recall Coverage: Mean = 98.81, Median = 100.00
