Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 6.47, Median = 0.00
Recall Coverage: Mean = 22.60, Median = 0.00
Recall Coverage: Mean = 35.39, Median = 0.00
Recall Coverage: Mean = 44.93, Median = 0.00
Recall Coverage: Mean = 53.37, Median = 100.00
Recall Coverage: Mean = 61.15, Median = 100.00
Recall Coverage: Mean = 68.10, Median = 100.00
Recall Coverage: Mean = 73.85, Median = 100.00
Recall Coverage: Mean = 78.56, Median = 100.00
Recall Coverage: Mean = 82.77, Median = 100.00
Recall Coverage: Mean = 86.08, Median = 100.00
Recall Coverage: Mean = 88.49, Median = 100.00
Recall Coverage: Mean = 90.73, Median = 100.00
Recall Coverage: Mean = 92.37, Median = 100.00
Recall Coverage: Mean = 94.25, Median = 100.00
Recall Coverage: Mean = 95.53, Median = 100.00
Recall Coverage: Mean = 96.57, Median = 100.00
Recall Coverage: Mean = 97.29, Median = 100.00
Recall Coverage: Mean = 97.88, Median = 100.00
