Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 4.08, Median = 0.00
Recall Coverage: Mean = 15.00, Median = 0.00
Recall Coverage: Mean = 26.12, Median = 0.00
Recall Coverage: Mean = 36.88, Median = 0.00
Recall Coverage: Mean = 46.03, Median = 0.00
Recall Coverage: Mean = 55.55, Median = 100.00
Recall Coverage: Mean = 64.22, Median = 100.00
Recall Coverage: Mean = 70.87, Median = 100.00
Recall Coverage: Mean = 77.64, Median = 100.00
Recall Coverage: Mean = 82.92, Median = 100.00
Recall Coverage: Mean = 86.85, Median = 100.00
Recall Coverage: Mean = 89.95, Median = 100.00
Recall Coverage: Mean = 92.22, Median = 100.00
Recall Coverage: Mean = 93.89, Median = 100.00
Recall Coverage: Mean = 95.14, Median = 100.00
Recall Coverage: Mean = 96.42, Median = 100.00
Recall Coverage: Mean = 97.44, Median = 100.00
Recall Coverage: Mean = 97.97, Median = 100.00
Recall Coverage: Mean = 98.57, Median = 100.00
