Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 0.18, Median = 0.00
Recall Coverage: Mean = 0.61, Median = 0.00
Recall Coverage: Mean = 1.83, Median = 0.00
Recall Coverage: Mean = 3.95, Median = 0.00
Recall Coverage: Mean = 8.35, Median = 0.00
Recall Coverage: Mean = 14.68, Median = 0.82
Recall Coverage: Mean = 24.48, Median = 6.92
Recall Coverage: Mean = 36.72, Median = 21.94
Recall Coverage: Mean = 50.67, Median = 48.39
Recall Coverage: Mean = 64.70, Median = 76.12
Recall Coverage: Mean = 77.23, Median = 96.52
Recall Coverage: Mean = 85.83, Median = 100.00
Recall Coverage: Mean = 91.94, Median = 100.00
Recall Coverage: Mean = 95.42, Median = 100.00
Recall Coverage: Mean = 97.61, Median = 100.00
Recall Coverage: Mean = 98.83, Median = 100.00
Recall Coverage: Mean = 99.36, Median = 100.00
Recall Coverage: Mean = 99.66, Median = 100.00
Recall Coverage: Mean = 99.79, Median = 100.00
