Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 0.25, Median = 0.00
Recall Coverage: Mean = 2.30, Median = 0.00
Recall Coverage: Mean = 7.33, Median = 0.17
Recall Coverage: Mean = 16.63, Median = 6.04
Recall Coverage: Mean = 28.87, Median = 19.26
Recall Coverage: Mean = 43.66, Median = 37.94
Recall Coverage: Mean = 58.59, Median = 60.59
Recall Coverage: Mean = 71.80, Median = 80.95
Recall Coverage: Mean = 82.62, Median = 95.24
Recall Coverage: Mean = 89.83, Median = 100.00
Recall Coverage: Mean = 94.17, Median = 100.00
Recall Coverage: Mean = 97.11, Median = 100.00
Recall Coverage: Mean = 98.65, Median = 100.00
Recall Coverage: Mean = 99.43, Median = 100.00
Recall Coverage: Mean = 99.72, Median = 100.00
Recall Coverage: Mean = 99.81, Median = 100.00
Recall Coverage: Mean = 99.83, Median = 100.00
Recall Coverage: Mean = 99.89, Median = 100.00
Recall Coverage: Mean = 99.89, Median = 100.00
