Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 1.83, Median = 0.00
Precision Coverage: Mean = 6.08, Median = 0.00
Precision Coverage: Mean = 14.27, Median = 1.06
Precision Coverage: Mean = 24.07, Median = 10.00
Precision Coverage: Mean = 36.27, Median = 27.69
Precision Coverage: Mean = 47.41, Median = 47.44
Precision Coverage: Mean = 56.88, Median = 65.93
Precision Coverage: Mean = 65.04, Median = 84.55
Precision Coverage: Mean = 72.38, Median = 95.24
Precision Coverage: Mean = 78.49, Median = 100.00
Precision Coverage: Mean = 83.44, Median = 100.00
Precision Coverage: Mean = 86.98, Median = 100.00
Precision Coverage: Mean = 89.66, Median = 100.00
Precision Coverage: Mean = 91.86, Median = 100.00
Precision Coverage: Mean = 93.51, Median = 100.00
Precision Coverage: Mean = 94.65, Median = 100.00
Precision Coverage: Mean = 95.67, Median = 100.00
Precision Coverage: Mean = 96.61, Median = 100.00
Precision Coverage: Mean = 97.40, Median = 100.00
