Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 3.50, Median = 0.00
Recall Coverage: Mean = 14.85, Median = 2.30
Recall Coverage: Mean = 28.52, Median = 19.20
Recall Coverage: Mean = 44.12, Median = 42.30
Recall Coverage: Mean = 58.79, Median = 62.50
Recall Coverage: Mean = 71.73, Median = 79.09
Recall Coverage: Mean = 81.48, Median = 90.94
Recall Coverage: Mean = 88.79, Median = 97.72
Recall Coverage: Mean = 93.29, Median = 100.00
Recall Coverage: Mean = 95.95, Median = 100.00
Recall Coverage: Mean = 97.76, Median = 100.00
Recall Coverage: Mean = 98.69, Median = 100.00
Recall Coverage: Mean = 99.30, Median = 100.00
Recall Coverage: Mean = 99.61, Median = 100.00
Recall Coverage: Mean = 99.73, Median = 100.00
Recall Coverage: Mean = 99.78, Median = 100.00
Recall Coverage: Mean = 99.79, Median = 100.00
Recall Coverage: Mean = 99.87, Median = 100.00
Recall Coverage: Mean = 99.87, Median = 100.00
