Method,Delta,COV
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
ConfGF,0.0,0.00
