Method,Delta,COV
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
Conformator,0.0,0.00
