Method,Delta,COV
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
GeoMol,0.0,0.00
