Method,Delta,COV
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
OMEGA,0.0,0.00
